FRODO  Copyright (C) 2008-2019  Thomas Leaute, Brammert Ottens & Radoslaw Szymanek
This program comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it
under certain conditions. 

Parsing the chosen problem file...
Parsing the chosen agent configuration file...
Setting up the agents...
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	8 756
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	7 761
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	4 577
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 786
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 194
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	5 572
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	4 577
	[ALL, DSA, VALUE]:	5 174
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	4 577
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 388
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	5 970
	[ALL, DSA, VALUE]:	5 970
	[ALL, DSA, VALUE]:	5 970
	[ALL, DSA, VALUE]:	6 169
	[ALL, DSA, VALUE]:	5 572
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	5 174
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	5 572
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	6 169
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	4 975
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	5 373
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	4 975
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	1 791
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	398
	[ALL, DSA, VALUE]:	398
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	2 189
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	796
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	597
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	995
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	199
	[ALL, DSA, VALUE]:	199
	[ALL, DSA, VALUE]:	199
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 592
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	1 393
	[ALL, DSA, VALUE]:	199
	- Total:	1 034 004
Number of messages sent (by agent): 
	agent_0:	2 388
	agent_1:	2 388
	agent_10:	796
	agent_100:	1 990
	agent_101:	1 990
	agent_102:	4 776
	agent_103:	4 378
	agent_104:	4 776
	agent_105:	4 378
	agent_106:	3 980
	agent_107:	3 383
	agent_108:	3 980
	agent_109:	3 383
	agent_11:	796
	agent_110:	1 393
	agent_111:	1 393
	agent_112:	3 582
	agent_113:	3 383
	agent_114:	4 179
	agent_115:	3 980
	agent_116:	3 781
	agent_117:	3 781
	agent_118:	3 383
	agent_119:	2 985
	agent_12:	1 791
	agent_120:	2 786
	agent_121:	2 388
	agent_122:	1 791
	agent_123:	1 791
	agent_124:	1 791
	agent_125:	1 791
	agent_126:	1 393
	agent_127:	1 990
	agent_128:	1 791
	agent_129:	1 393
	agent_13:	1 791
	agent_130:	1 194
	agent_131:	1 194
	agent_132:	2 985
	agent_133:	3 383
	agent_134:	2 985
	agent_135:	3 383
	agent_136:	3 383
	agent_137:	3 383
	agent_138:	1 791
	agent_139:	1 791
	agent_14:	1 592
	agent_140:	2 587
	agent_141:	2 587
	agent_142:	3 781
	agent_143:	3 781
	agent_144:	1 791
	agent_145:	1 791
	agent_146:	2 388
	agent_147:	2 189
	agent_148:	2 587
	agent_149:	2 786
	agent_15:	1 990
	agent_150:	3 383
	agent_151:	3 383
	agent_152:	1 592
	agent_153:	1 393
	agent_154:	2 189
	agent_155:	2 189
	agent_156:	2 189
	agent_157:	2 189
	agent_158:	2 985
	agent_159:	3 184
	agent_16:	5 771
	agent_160:	1 791
	agent_161:	1 791
	agent_162:	4 179
	agent_163:	4 378
	agent_164:	3 184
	agent_165:	3 383
	agent_166:	3 184
	agent_167:	2 985
	agent_168:	1 791
	agent_169:	1 791
	agent_17:	5 771
	agent_170:	1 791
	agent_171:	1 791
	agent_172:	2 985
	agent_173:	3 184
	agent_174:	597
	agent_175:	597
	agent_176:	3 980
	agent_177:	3 184
	agent_178:	796
	agent_179:	796
	agent_18:	4 975
	agent_180:	2 587
	agent_181:	2 587
	agent_182:	1 393
	agent_183:	1 393
	agent_184:	3 383
	agent_185:	3 781
	agent_186:	2 189
	agent_187:	1 393
	agent_188:	1 393
	agent_189:	1 393
	agent_19:	4 975
	agent_190:	2 587
	agent_191:	2 587
	agent_192:	597
	agent_193:	597
	agent_194:	1 393
	agent_195:	1 393
	agent_196:	1 393
	agent_197:	1 393
	agent_198:	1 990
	agent_199:	1 791
	agent_2:	2 388
	agent_20:	3 184
	agent_200:	995
	agent_201:	1 194
	agent_202:	1 791
	agent_203:	1 791
	agent_204:	2 189
	agent_205:	2 189
	agent_206:	4 577
	agent_207:	4 577
	agent_208:	4 577
	agent_209:	4 378
	agent_21:	2 985
	agent_210:	2 388
	agent_211:	2 587
	agent_212:	2 985
	agent_213:	2 985
	agent_214:	4 776
	agent_215:	3 980
	agent_216:	2 985
	agent_217:	2 985
	agent_218:	995
	agent_219:	995
	agent_22:	1 393
	agent_220:	1 393
	agent_221:	1 393
	agent_222:	1 791
	agent_223:	1 791
	agent_224:	1 393
	agent_225:	1 592
	agent_226:	2 786
	agent_227:	2 786
	agent_228:	2 587
	agent_229:	2 587
	agent_23:	2 786
	agent_230:	1 194
	agent_231:	995
	agent_232:	995
	agent_233:	995
	agent_234:	4 179
	agent_235:	4 378
	agent_236:	1 393
	agent_237:	2 189
	agent_238:	1 592
	agent_239:	1 393
	agent_24:	5 174
	agent_240:	995
	agent_241:	995
	agent_242:	3 781
	agent_243:	3 582
	agent_244:	2 985
	agent_245:	3 383
	agent_246:	1 393
	agent_247:	1 393
	agent_248:	2 786
	agent_249:	2 587
	agent_25:	4 776
	agent_250:	3 383
	agent_251:	3 383
	agent_252:	1 990
	agent_253:	1 791
	agent_254:	1 194
	agent_255:	1 592
	agent_256:	1 194
	agent_257:	1 194
	agent_258:	3 383
	agent_259:	2 985
	agent_26:	4 776
	agent_260:	3 582
	agent_261:	3 980
	agent_262:	3 980
	agent_263:	3 781
	agent_264:	1 393
	agent_265:	2 587
	agent_266:	4 179
	agent_267:	4 378
	agent_268:	3 383
	agent_269:	3 184
	agent_27:	4 975
	agent_270:	1 393
	agent_271:	1 393
	agent_272:	1 393
	agent_273:	1 393
	agent_274:	1 990
	agent_275:	1 990
	agent_276:	1 791
	agent_277:	1 194
	agent_278:	1 990
